Pollster/client(s),Date(s) conducted,Area,Sample size,CON,LAB,LIB,SNP,GRN,BXP,OTH
YouGov,2019-11-29,GB,2000,43%,34%,13%,3%,4%,2%,1%
Deltapoll,2019-11-29,GB,2000,45%,32%,15%,3%,2%,3%,0%
Opinium,2019-11-29,GB,2000,46%,31%,13%,4%,2%,2%,2%
BMG,2019-11-29,GB,2000,39%,33%,13%,3%,5%,4%,1%
ComRes,2019-11-28,GB,2000,43%,33%,13%,3%,3%,4%,1%
Panelbase,2019-11-28,GB,2010,42%,34%,13%,3%,3%,4%,1%
SavantaComRes/The Daily Telegraph,2019-11-26,GB,2034,41%,34%,13%,3%,2%,5%,1%
YouGov/The Times/Sky News,2019-11-26,GB,1678,43%,32%,13%,4%,2%,4%,1%
ICM Research,2019-11-25,GB,2004,41%,34%,13%,3%,3%,4%,1%
Kantar,2019-11-25,GB,1097,43%,32%,14%,4%,4%,3%,0%
Deltapoll/The Mail on Sunday,2019-11-23,GB,1519,43%,30%,16%,4%,3%,3%,0%
Survation/Good Morning Britain,2019-11-23,UK,1010,41%,30%,15%,3%,3%,5%,4%
YouGov/The Sunday Times,2019-11-22,GB,1677,42%,30%,16%,4%,4%,3%,1%
Opinium/The Observer,2019-11-22,GB,2003,47%,28%,12%,5%,3%,3%,1%
Panelbase,2019-11-22,GB,2028,42%,32%,14%,3%,3%,3%,2%
SavantaComRes/Sunday Express,2019-11-21,GB,2038,42%,32%,15%,3%,2%,5%,1%
BMG,2019-11-21,GB,1663,41%,28%,18%,2%,5%,3%,1%
YouGov,2019-11-20,GB,11277,43%,29%,15%,4%,3%,4%,2%
SavantaComRes/The Daily Telegraph,2019-11-19,GB,1628,42%,31%,15%,4%,2%,5%,1%
YouGov/The Times,2019-11-19,GB,1606,42%,30%,15%,4%,4%,4%,1%
Ipsos MORI/Evening Standard,2019-11-19,GB,1128,44%,28%,16%,4%,3%,3%,1%
YouGov,2019-11-18,GB,1634,43%,29%,15%,4%,3%,3%,3%
ICM Research,2019-11-18,GB,2010,42%,32%,13%,3%,3%,5%,2%
Kantar,2019-11-18,GB,1176,45%,27%,16%,4%,3%,2%,2%
Survation,2019-11-16,UK,1010,42%,28%,13%,3%,3%,5%,4%
Deltapoll/The Mail on Sunday,2019-11-16,GB,1526,45%,30%,11%,3%,3%,6%,2%
YouGov/The Sunday Times,2019-11-15,GB,1670,45%,28%,15%,4%,3%,4%,2%
Opinium/The Observer,2019-11-15,GB,2008,44%,28%,14%,4%,3%,6%,1%
BMG/The Independent,2019-11-15,GB,1506,37%,29%,16%,2%,5%,9%,0%
SavantaComRes/The Sunday Telegraph,2019-11-14,GB,2052,41%,33%,14%,3%,2%,5%,1%
Panelbase,2019-11-14,GB,1021,43%,30%,15%,4%,2%,5%,0%
SavantaComRes/The Daily Telegraph,2019-11-12,GB,2022,40%,30%,16%,4%,3%,7%,1%
YouGov/The Times/Sky News,2019-11-12,GB,1619,42%,28%,15%,3%,4%,4%,4%
ICM Research,2019-11-11,GB,2035,39%,31%,15%,3%,3%,8%,2%
Kantar,2019-11-11,GB,1165,37%,27%,17%,3%,3%,9%,4%
ComRes/Britain Elects,2019-11-10,GB,2014,37%,29%,17%,4%,3%,9%,1%
Deltapoll/The Mail on Sunday,2019-11-09,GB,1518,41%,29%,16%,3%,2%,6%,2%
YouGov/The Sunday Times,2019-11-08,GB,1598,39%,26%,17%,4%,4%,10%,0%
Survation,2019-11-08,UK,2037,35%,29%,17%,4%,1%,10%,4%
Opinium/The Observer,2019-11-08,GB,2001,41%,29%,15%,5%,2%,6%,1%
Panelbase,2019-11-08,GB,1046,40%,30%,15%,4%,3%,8%,0%
BMG/The Independent,2019-11-08,GB,1504,37%,29%,16%,2%,7%,9%,0%
YouGov/The Times/Sky,2019-11-06,GB,1667,36%,25%,17%,4%,5%,11%,1%
ComRes/Remain United,2019-11-05,GB,6097,36%,29%,17%,4%,3%,11%,0%
YouGov/The Times,2019-11-04,GB,3284,38%,25%,16%,4%,5%,11%,0%
ICM Research/Reuters,2019-11-04,GB,2047,38%,31%,15%,3%,3%,9%,1%
Deltapoll/The Mail on Sunday,2019-11-02,GB,1500,40%,28%,14%,3%,2%,11%,0%
Opinium/The Observer,2019-11-01,GB,2004,42%,26%,16%,4%,2%,9%,1%
YouGov/The Sunday Times,2019-11-01,GB,1834,39%,27%,16%,5%,4%,7%,1%
ComRes/Sunday Express,2019-10-31,GB,2032,36%,28%,17%,4%,3%,10%,1%
ORB/The Sunday Telegraph,2019-10-31,GB,2025,36%,28%,14%,5%,4%,12%,1%
Panelbase,2019-10-31,GB,1008,40%,29%,14%,3%,3%,9%,1%
YouGov/The Times,2019-10-30,GB,1750,36%,21%,18%,4%,6%,13%,1%
Survation/Daily Mail,2019-10-30,UK,1010,34%,26%,19%,4%,1%,12%,4%
Ipsos MORI/Evening Standard,2019-10-28,GB,1007,41%,24%,20%,4%,3%,7%,0%
YouGov,2019-10-28,GB,11590,36%,22%,19%,4%,6%,12%,0%
YouGov/The Times,2019-10-25,GB,1672,36%,23%,18%,4%,6%,12%,0%
Opinium/The Observer,2019-10-25,GB,2001,40%,24%,15%,5%,3%,10%,1%
YouGov/The Times,2019-10-21,GB,1689,37%,22%,19%,3%,7%,11%,0%
Deltapoll,2019-10-21,GB,2017,37%,24%,19%,4%,3%,11%,0%
Panelbase,2019-10-18,GB,1008,36%,27%,17%,4%,3%,11%,0%
Survation/Daily Mail,2019-10-18,UK,1025,32%,24%,21%,4%,2%,13%,4%
ComRes/Britain Elects,2019-10-17,GB,2067,33%,29%,18%,4%,4%,12%,0%
Opinium/The Observer,2019-10-17,GB,2001,37%,24%,16%,4%,4%,12%,1%
YouGov/The Times,2019-10-15,GB,1625,37%,22%,18%,4%,5%,11%,0%
Kantar,2019-10-15,GB,1184,39%,25%,18%,3%,3%,8%,1%
Panelbase/The Sunday Times,2019-10-11,GB,2013,33%,30%,17%,4%,3%,12%,0%
ComRes/Daily Express,2019-10-10,GB,2018,33%,27%,18%,4%,4%,12%,2%
YouGov/The Times,2019-10-09,GB,1616,35%,22%,20%,4%,6%,12%,0%
ICM Research/Represent Us,2019-10-07,GB,2013,35%,29%,16%,3%,4%,11%,1%
ComRes/The Daily Telegraph,2019-10-06,GB,2006,33%,27%,19%,4%,3%,13%,1%
Opinium/The Observer,2019-10-04,GB,2006,38%,23%,15%,5%,4%,12%,0%
BMG/The Independent,2019-10-04,GB,1514,31%,26%,20%,3%,7%,11%,0%
YouGov/The Times,2019-10-01,GB,1623,34%,21%,23%,3%,5%,12%,1%
YouGov/The Sunday Times,2019-09-27,GB,1623,33%,22%,21%,4%,5%,13%,1%
Opinium/The Observer,2019-09-27,GB,2007,36%,24%,20%,5%,2%,11%,1%
Survation/Daily Mail,2019-09-25,UK,1011,27%,24%,22%,4%,3%,16%,4%
YouGov/The Times,2019-09-25,GB,1635,33%,22%,22%,3%,6%,14%,0%
YouGov/People's Vote,2019-09-20,GB,2006,30%,23%,22%,4%,5%,14%,1%
Opinium/The Observer,2019-09-20,GB,2004,37%,22%,17%,4%,4%,12%,0%
ComRes/Britain Elects,2019-09-19,GB,2050,29%,27%,20%,4%,4%,13%,0%
YouGov/The Times,2019-09-18,GB,1608,32%,21%,23%,4%,4%,14%,2%
Ipsos MORI/Evening Standard,2019-09-16,GB,1006,33%,24%,23%,4%,4%,10%,1%
Opinium/The Observer,2019-09-13,GB,2002,37%,25%,16%,4%,2%,13%,0%
ComRes/Sunday Express,2019-09-12,GB,2057,28%,27%,20%,4%,5%,13%,0%
YouGov/The Times,2019-09-10,GB,1676,32%,23%,19%,4%,7%,14%,1%
Kantar,2019-09-09,GB,1144,38%,24%,20%,4%,3%,7%,1%
ComRes/The Daily Telegraph,2019-09-08,GB,2016,30%,29%,17%,3%,4%,13%,2%
Deltapoll/The Sun on Sunday,2019-09-07,GB,2049,31%,28%,17%,5%,4%,13%,0%
YouGov/The Sunday Times,2019-09-06,GB,1676,35%,21%,19%,4%,7%,12%,1%
Panelbase,2019-09-06,GB,1013,31%,28%,19%,3%,2%,15%,0%
Survation/Daily Mail,2019-09-06,UK,1006,29%,24%,18%,4%,3%,17%,5%
ComRes/Britain Elects,2019-09-06,GB,2009,31%,27%,20%,3%,3%,13%,1%
Opinium/The Observer,2019-09-06,GB,2009,35%,25%,17%,5%,3%,13%,1%
BMG/The Independent,2019-09-06,GB,1504,31%,27%,19%,3%,6%,13%,0%
Hanbury Strategy,2019-09-04,GB,995,33%,26%,17%,4%,3%,14%,2%
YouGov/The Times,2019-09-03,GB,1639,35%,25%,16%,4%,7%,11%,0%
ICM Research/Represent Us,2019-09-03,GB,2041,37%,30%,16%,3%,4%,9%,1%
Deltapoll/The Mail on Sunday,2019-08-31,GB,2028,35%,24%,18%,4%,4%,14%,0%
Survation/Daily Mail,2019-08-30,UK,1020,31%,24%,21%,4%,3%,14%,3%
YouGov,2019-08-29,GB,1867,33%,22%,21%,4%,7%,12%,1%
YouGov/The Times,2019-08-28,GB,2006,34%,22%,17%,4%,8%,13%,1%
YouGov/The Sunday Times,2019-08-23,GB,2019,33%,21%,19%,4%,7%,14%,1%
Opinium/The Observer,2019-08-23,GB,2005,32%,26%,15%,5%,4%,16%,1%
YouGov/The Times,2019-08-21,GB,1687,32%,22%,20%,4%,7%,12%,2%
Kantar,2019-08-19,GB,1133,42%,28%,15%,5%,3%,5%,1%
YouGov/The Times,2019-08-14,GB,1625,30%,21%,20%,4%,8%,14%,2%
BMG/The Independent,2019-08-12,GB,1515,31%,25%,19%,3%,6%,12%,2%
ComRes/The Daily Telegraph,2019-08-11,GB,2011,31%,27%,16%,3%,4%,16%,2%
Survation,2019-08-11,UK,2040,28%,24%,21%,4%,3%,15%,4%
Opinium/The Observer,2019-08-09,GB,2003,31%,28%,13%,4%,5%,16%,0%
YouGov/The Times,2019-08-06,GB,1628,31%,22%,21%,4%,7%,14%,1%
YouGov/The Times,2019-07-30,GB,2066,32%,22%,19%,4%,8%,13%,1%
Ipsos MORI,2019-07-30,GB,1007,34%,24%,20%,4%,6%,9%,1%
ComRes/Britain Elects,2019-07-28,GB,2004,29%,30%,16%,3%,5%,15%,2%
Deltapoll/The Mail on Sunday,2019-07-27,GB,2001,30%,25%,18%,4%,4%,14%,1%
YouGov/The Sunday Times,2019-07-26,GB,1697,31%,21%,20%,5%,8%,13%,1%
Opinium/The Observer,2019-07-26,GB,2006,30%,28%,16%,5%,5%,15%,1%
ComRes/Sunday Express,2019-07-25,GB,2029,28%,27%,19%,3%,4%,16%,0%
YouGov/The Times,2019-07-24,GB,1715,25%,19%,23%,4%,9%,17%,1%
YouGov/The Times,2019-07-17,GB,1749,25%,21%,20%,4%,8%,19%,1%
ComRes/Britain Elects,2019-07-16,GB,2038,25%,28%,17%,4%,5%,19%,1%
ComRes/Sunday Express,2019-07-11,GB,1791,24%,28%,15%,3%,5%,20%,2%
Survation,2019-07-11,GB,1012,23%,29%,19%,4%,3%,20%,1%
YouGov/The Times,2019-07-10,GB,1671,24%,20%,19%,5%,9%,21%,1%
ComRes/The Daily Telegraph,2019-07-07,GB,2010,25%,28%,16%,3%,5%,19%,1%
Opinium/The Observer,2019-07-05,GB,2002,23%,25%,15%,5%,8%,22%,0%
BMG/The Independent,2019-07-05,GB,1532,28%,27%,18%,2%,6%,14%,0%
YouGov/The Times,2019-07-03,GB,1605,24%,18%,20%,4%,9%,23%,1%
YouGov/The Times,2019-06-25,GB,2059,22%,20%,19%,4%,10%,22%,1%
Ipsos MORI,2019-06-25,GB,1043,26%,24%,22%,4%,8%,12%,0%
Opinium/The Observer,2019-06-20,GB,2009,20%,26%,16%,4%,6%,23%,1%
Survation/The Mail on Sunday,2019-06-20,GB,2016,24%,26%,18%,3%,6%,20%,1%
YouGov/The Times,2019-06-19,GB,1641,20%,20%,21%,4%,9%,23%,0%
YouGov/The Sunday Times,2019-06-14,GB,1672,21%,21%,19%,3%,9%,24%,1%
YouGov/The Times,2019-06-10,GB,1702,17%,19%,22%,4%,8%,26%,1%
ComRes/The Daily Telegraph,2019-06-09,GB,2017,23%,27%,17%,3%,5%,22%,1%
BMG/The Independent,2019-06-07,GB,1520,26%,27%,17%,3%,6%,18%,1%
YouGov/The Times,2019-06-06,GB,1670,18%,20%,20%,5%,9%,26%,0%
YouGov,2019-06-05,GB,1663,18%,19%,22%,4%,9%,25%,3%
YouGov,2019-06-01,GB,1644,18%,19%,23%,5%,10%,23%,2%
Deltapoll/The Mail on Sunday,2019-05-30,GB,2449,20%,26%,16%,4%,5%,24%,1%
Opinium/The Observer,2019-05-30,GB,2005,17%,22%,16%,4%,11%,26%,1%
YouGov/The Times,2019-05-29,GB,1763,19%,19%,24%,6%,8%,22%,0%
Survation/Daily Mail,2019-05-22,UK,2029,28%,33%,13%,3%,3%,12%,3%
Number Cruncher Politics,2019-05-21,GB,1005,27%,31%,15%,5%,4%,14%,0%
Panelbase/The Sunday Times,2019-05-21,GB,2033,21%,31%,13%,4%,5%,19%,0%
Opinium,2019-05-20,GB,2005,22%,26%,12%,4%,4%,25%,0%
Survation/Daily Mail,2019-05-17,UK,1000,27%,32%,13%,5%,3%,13%,4%
YouGov/Best for Britain/Hope Not Hate,2019-05-17,GB,9260,24%,24%,18%,4%,6%,18%,1%
Opinium/The Observer,2019-05-16,GB,2009,22%,29%,11%,4%,3%,24%,1%
YouGov/The Times,2019-05-14,GB,1655,25%,25%,16%,5%,7%,18%,1%
Ipsos MORI,2019-05-14,GB,1072,25%,27%,15%,4%,7%,16%,1%
Hanbury Strategy/Politico,2019-05-13,GB,2000,21%,30%,13%,4%,5%,19%,1%
Kantar,2019-05-13,GB,1152,25%,34%,15%,5%,3%,10%,2%
ComRes/The Daily Telegraph,2019-05-12,GB,2028,20%,27%,13%,3%,4%,20%,1%
Opinium/The Observer,2019-05-10,GB,2004,22%,28%,11%,4%,6%,21%,0%
BMG/The Independent,2019-05-10,GB,1541,27%,30%,18%,2%,6%,10%,1%
ComRes/Brexit Express,2019-05-09,GB,2034,19%,27%,14%,3%,5%,20%,1%
YouGov/The Times,2019-05-09,GB,2212,24%,24%,16%,5%,7%,18%,1%
Opinium/People's Vote,2019-05-07,GB,2000,25%,30%,11%,3%,5%,17%,1%
YouGov,2019-04-30,GB,1630,29%,29%,13%,4%,5%,15%,1%
YouGov/The Times,2019-04-24,GB,1787,27%,30%,11%,5%,5%,14%,1%
Panelbase/The Sunday Times,2019-04-24,GB,2030,27%,36%,8%,4%,3%,13%,1%
Opinium/The Observer,2019-04-23,GB,2004,26%,33%,6%,5%,4%,17%,1%
OnePoll/The Sun on Sunday,2019-04-17,UK,2000,24%,33%,9%,4%,5%,14%,3%
ORB/The Daily Telegraph,2019-04-17,UK,1546,26%,29%,8%,4%,4%,14%,4%[b]
YouGov/The Times,2019-04-17,GB,1755,29%,30%,10%,5%,5%,12%,2%
ComRes/Brexit Express,2019-04-16,GB,1061,23%,33%,7%,3%,3%,14%,1%
Opinium/The Observer,2019-04-12,GB,2007,29%,36%,8%,5%,4%,–,6%
YouGov/The Times,2019-04-11,GB,1843,28%,32%,11%,5%,5%,8%,2%
Hanbury Strategy/Open Europe,2019-04-08,GB,2000,31%,40%,8%,4%,5%,–,4%
Kantar,2019-04-08,GB,1172,32%,35%,11%,5%,4%,–,6%
Survation,2019-04-08,E+W,6062,37%,41%,10%,–,2%,–,2%
ComRes/The Daily Telegraph,2019-04-07,GB,2018,32%,32%,7%,3%,3%,–,3%
YouGov/The Times,2019-04-03,GB,1771,32%,31%,12%,6%,4%,5%,3%
Opinium/The Observer,2019-03-29,GB,2008,35%,35%,9%,4%,5%,–,3%
YouGov/The Times,2019-03-25,GB,2110,36%,33%,11%,5%,4%,5%,2%
ComRes/Leave Means Leave,2019-03-24,GB,2030,33%,33%,8%,3%,3%,–,3%
Opinium/The Observer,2019-03-22,GB,2002,36%,35%,7%,5%,4%,–,3%
ComRes/Daily Express,2019-03-21,GB,2063,34%,35%,8%,3%,4%,–,3%
Ipsos MORI,2019-03-19,GB,1050,38%,34%,8%,5%,4%,1%,0%
ComRes/The Daily Telegraph,2019-03-17,GB,2033,34%,35%,8%,3%,3%,–,3%
Survation/Daily Mail,2019-03-15,UK,1007,35%,39%,10%,3%,–,–,12%
YouGov/People's Vote,2019-03-15,GB,1823,35%,33%,11%,–,–,–,21%
YouGov/The Times,2019-03-15,GB,1756,35%,31%,12%,4%,4%,4%,2%
Opinium/The Observer,2019-03-15,GB,2003,35%,35%,7%,5%,4%,–,2%
,2019-03-15,GB,2008,38%,34%,8%,5%,3%,–,3%
Kantar,2019-03-11,GB,1152,41%,31%,8%,5%,6%,–,2%
BMG/The Independent,2019-03-08,GB,1510,37%,31%,10%,3%,5%,–,1%
,,,,39%,34%,12%,3%,4%,–,2%
ComRes/Brexit Express,2019-03-05,GB,2042,36%,34%,8%,3%,3%,–,2%
YouGov/The Times,2019-03-04,GB,2172,40%,31%,11%,5%,4%,3%,3%
Opinium/The Observer,2019-02-22,GB,2008,40%,32%,5%,4%,4%,–,2%
Sky Data,2019-02-19,UK,1034,32%,26%,9%,4%,4%,–,7%
Survation/Daily Mail,2019-02-18,UK,1023,40%,36%,10%,3%,2%,–,5%
Opinium/The Observer,2019-02-15,GB,2005,37%,37%,8%,4%,4%,–,2%
Kantar,2019-02-11,GB,1145,40%,35%,10%,4%,4%,–,3%
BMG,2019-02-08,GB,1503,38%,35%,13%,3%,5%,–,1%
YouGov/The Times,2019-02-07,GB,40119,39%,34%,11%,3%,4%,–,2%
Ipsos MORI,2019-02-05,GB,1005,38%,38%,10%,4%,3%,–,3%
YouGov/The Times,2019-02-04,GB,1851,41%,34%,10%,4%,4%,–,2%
Opinium/The Observer,2019-02-01,GB,2008,41%,34%,8%,4%,4%,–,1%
Survation/Daily Mail,2019-01-30,UK,1029,38%,39%,9%,3%,2%,–,4%
Opinium/People's Vote,2019-01-25,GB,2001,40%,36%,7%,3%,4%,–,1%
ICM,2019-01-18,GB,2046,39%,40%,9%,3%,3%,–,1%
Opinium/The Observer,2019-01-18,GB,2006,37%,40%,7%,5%,4%,–,1%
ComRes/Sunday Mirror/Sunday Express,2019-01-17,GB,2031,38%,37%,10%,3%,3%,–,1%
Number Cruncher Politics,2019-01-17,UK,1030,41%,39%,8%,3%,2%,–,1%
ComRes/Daily Express,2019-01-15,GB,2010,37%,39%,8%,3%,3%,–,1%
YouGov/The Times,2019-01-14,GB,1701,39%,34%,11%,4%,4%,–,1%
Kantar,2019-01-14,GB,1106,35%,38%,9%,4%,4%,–,3%
Survation/Daily Mail,2019-01-11,UK,1013,38%,41%,10%,3%,2%,–,3%
BMG/The Independent,2019-01-11,GB,1514,36%,36%,12%,3%,5%,–,1%
YouGov/The Times,2019-01-07,GB,1656,41%,35%,11%,4%,3%,–,1%
YouGov/People's Vote,2019-01-04,UK,25537,40%,34%,10%,4%,4%,–,2%